,Contest Title,Party,Candidate,ABSENTEE,BELOIT COMMUNITY CTR,BROAD STREET FIRE STATION,CAHABA ROAD FIRE STATION,CARLOWVILLE MINTER VFD,CHRISTIAN OUTREACH ALLNCE,DALLAS COUNTY COURTHOUSE,EASTEND FIRE STATION,GOOD HOPE CHURCH,GWC HOMES CTR,MARION JCT BLACKBELT EXP,MEMORIAL STADIUM,MT ZION CHURCH,NEW ST JOHNS MINISTRIES,OLD NATIONAL GUARD ARMORY,ORRVILLE COMMUNITY CTR,PLANTERSVILLE VFD,PROVISIONAL,QUEEN OF PEACE SCHOOL,RANGEDALE CTR,SAFFORD COMMUNITY CTR,SELMA MALL,SELMONT WATER WORKS,SHILOH SCHOOL BLDG,SUMMERFIELD VFD,TIPTON SCHOOL,TYLER COMMUNITY CTR,UNION NEW NATL GRD ARMORY,UNION OLD NATL GRD ARMORY,VALLEY GRANDE COMM CTR,WOODROW AVE FIRE STATION
187,"CONSTABLE, DALLAS COUNTY PRECINCT 1501                  ",   ,Over Votes                            ,0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
188,"CONSTABLE, DALLAS COUNTY PRECINCT 1501                  ",   ,Under Votes                           ,35,,,,225.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
189,"CONSTABLE, DALLAS COUNTY PRECINCT D13S                  ",NON,Write-In                              ,6,,,,,,17.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
190,"CONSTABLE, DALLAS COUNTY PRECINCT D13S                  ",   ,Over Votes                            ,0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
191,"CONSTABLE, DALLAS COUNTY PRECINCT D13S                  ",   ,Under Votes                           ,18,,,,,,263.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
192,"CONSTABLE, DALLAS COUNTY PRECINCT D18E                  ",NON,Write-In                              ,3,,,,,,,19.0,,,,,,,,,,0.0,,,,,,,,,,,,,
193,"CONSTABLE, DALLAS COUNTY PRECINCT D18E                  ",   ,Over Votes                            ,0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
194,"CONSTABLE, DALLAS COUNTY PRECINCT D18E                  ",   ,Under Votes                           ,8,,,,,,,580.0,,,,,,,,,,0.0,,,,,,,,,,,,,
195,"CONSTABLE, DALLAS COUNTY PRECINCT D18W                  ",DEM,Jasper Jerome Bowie                   ,8,,,,,,,,,342.0,,,,,,,,0.0,,,,,,,,,,,,,
196,"CONSTABLE, DALLAS COUNTY PRECINCT D18W                  ",NON,Write-In                              ,0,,,,,,,,,9.0,,,,,,,,0.0,,,,,,,,,,,,,
197,"CONSTABLE, DALLAS COUNTY PRECINCT D18W                  ",   ,Over Votes                            ,0,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,
198,"CONSTABLE, DALLAS COUNTY PRECINCT D18W                  ",   ,Under Votes                           ,2,,,,,,,,,26.0,,,,,,,,0.0,,,,,,,,,,,,,
199,"CONSTABLE, DALLAS COUNTY PRECINCT D34E                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,30.0,,,,,,,,,
200,"CONSTABLE, DALLAS COUNTY PRECINCT D34E                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,
201,"CONSTABLE, DALLAS COUNTY PRECINCT D34E                  ",   ,Under Votes                           ,20,,,,,,,,,,,,,,,,,0.0,,,,493.0,,,,,,,,,
202,"CONSTABLE, DALLAS COUNTY PRECINCT D34W                  ",NON,Write-In                              ,7,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,26.0
203,"CONSTABLE, DALLAS COUNTY PRECINCT D34W                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0
204,"CONSTABLE, DALLAS COUNTY PRECINCT D34W                  ",   ,Under Votes                           ,43,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,889.0
205,"CONSTABLE, DALLAS COUNTY PRECINCT D35E                  ",NON,Write-In                              ,5,,,,,,,,,,,,,,,,,0.0,,21.0,,,,,,,,,,,
206,"CONSTABLE, DALLAS COUNTY PRECINCT D35E                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
207,"CONSTABLE, DALLAS COUNTY PRECINCT D35E                  ",   ,Under Votes                           ,27,,,,,,,,,,,,,,,,,0.0,,576.0,,,,,,,,,,,
208,"CONSTABLE, DALLAS COUNTY PRECINCT D36W                  ",DEM,Christopher Columbus Peterson         ,31,,,,,,,,,,,,,592.0,,,,0.0,,,,,,,,,,,,,
209,"CONSTABLE, DALLAS COUNTY PRECINCT D36W                  ",NON,Write-In                              ,0,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,
210,"CONSTABLE, DALLAS COUNTY PRECINCT D36W                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
211,"CONSTABLE, DALLAS COUNTY PRECINCT D36W                  ",   ,Under Votes                           ,0,,,,,,,,,,,,,40.0,,,,0.0,,,,,,,,,,,,,
212,"CONSTABLE, DALLAS COUNTY PRECINCT D37E                  ",DEM,"Lee Anthony Moore, Sr.                ",29,,536.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
213,"CONSTABLE, DALLAS COUNTY PRECINCT D37E                  ",NON,Write-In                              ,0,,4.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
214,"CONSTABLE, DALLAS COUNTY PRECINCT D37E                  ",   ,Over Votes                            ,0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
215,"CONSTABLE, DALLAS COUNTY PRECINCT D37E                  ",   ,Under Votes                           ,2,,36.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
216,"CONSTABLE, DALLAS COUNTY PRECINCT D51E                  ",DEM,Walter Day                            ,15,,,,,,,,,,,360.0,,,,,,0.0,,,,,,,,,,,,,
217,"CONSTABLE, DALLAS COUNTY PRECINCT D51E                  ",NON,Write-In                              ,0,,,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,
218,"CONSTABLE, DALLAS COUNTY PRECINCT D51E                  ",   ,Over Votes                            ,0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,
219,"CONSTABLE, DALLAS COUNTY PRECINCT D51E                  ",   ,Under Votes                           ,32,,,,,,,,,,,280.0,,,,,,0.0,,,,,,,,,,,,,
220,"CONSTABLE, DALLAS COUNTY PRECINCT D51W                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,26.0,,,0.0,,,,,,,,,,,,,
221,"CONSTABLE, DALLAS COUNTY PRECINCT D51W                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,
222,"CONSTABLE, DALLAS COUNTY PRECINCT D51W                  ",   ,Under Votes                           ,38,,,,,,,,,,,,,,819.0,,,0.0,,,,,,,,,,,,,
223,"CONSTABLE, DALLAS COUNTY PRECINCT D52S                  ",NON,Write-In                              ,3,,,49.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
224,"CONSTABLE, DALLAS COUNTY PRECINCT D52S                  ",   ,Over Votes                            ,0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
225,"CONSTABLE, DALLAS COUNTY PRECINCT D52S                  ",   ,Under Votes                           ,79,,,1000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
226,"CONSTABLE, DALLAS COUNTY PRECINCT D53N                  ",NON,Write-In                              ,28,,,,,65.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
227,"CONSTABLE, DALLAS COUNTY PRECINCT D53N                  ",   ,Over Votes                            ,0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
228,"CONSTABLE, DALLAS COUNTY PRECINCT D53N                  ",   ,Under Votes                           ,29,,,,,560.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
229,"CONSTABLE, DALLAS COUNTY PRECINCT D54Q                  ",NON,Write-In                              ,1,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,
230,"CONSTABLE, DALLAS COUNTY PRECINCT D54Q                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
231,"CONSTABLE, DALLAS COUNTY PRECINCT D54Q                  ",   ,Under Votes                           ,11,,,,,,,,,,,,,,,,,0.0,400.0,,,,,,,,,,,,
