,Contest Title,Party,Candidate,1ST BAPTIST PELHAM ANNEX,1ST CHRISTIAN CHURCH,1ST PRESBYTERIAN CHURCH,ABSENTEE,ALABASTER LIBERTY BAPTIST,ASBURY UNITED METHODIST,BAY SPRINGS BAPTIST,CAMP BRANCH CIVIC CENTER,CHELSEA CHURCH OF GOD,CHELSEA COMMUNITY CTR_,CHRIST UNITED METHODIST,COLUMBIANA REC_ BUILDING,CONCORD BAPTIST CHURCH,DUNNAVANT COMM_ CTR_,EVANGEL PRESBY_ CHURCH,FAITH PRESBYTERIAN CHURCH,FOURMILE VOL_ FIRE/RESCUE,GREYSTONE FARMS CLUBHOUSE,HARPERSVILLE CITY HALL,HELENA COMMUNITY CENTER,HOOVER FIRE STATION #8,MAYLENE PENTECOSTAL LIGHT,MEADOWBROOK BAPTIST,MONTEVALLO PARKS & REC_,NEW HOPE CUMBERLAND PRSBY,NEW LIFE ASSEMBLY OF GOD,NORTH SHELBY BAPTIST,PEA RIDGE COMMUNITY CTR_,PELHAM CIVIC COMPLEX,PROVISIONAL,RIVERCHASE BAPTIST,RIVERCHASE CHURCH CHRIST,ROY DOWNS MEMORIAL LIBRARY,SHELBY IRON WORKS PARK,SHOAL CREEK TOWN HALL,SILURIA BAPTIST CHURCH,SOUTHCREST BAPTIST CHURCH,SOUTHSIDE BAPTIST CHURCH,SPORTS BLASTSHELBY CO_,THE CHURCH AT BROOKHILLS,TURNER HOLLIS LEGION #195,UN METHODIST ALABASTER,UNDERWOOD BAPTIST CHURCH,UNIVERSITY BAPTIST CHURCH,VALLEYDALE BAPTIST,VANDIVER-STERETT SR_ CTR_,VINCENT REVIVAL CTR_,WILSONVILLE UN_ METHODIST,WILTON BAPTIST
100,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,1418.0,1237.0,1195.0,1674,282.0,1182.0,273.0,392.0,1157.0,564.0,904.0,868.0,1646.0,176.0,1636.0,916.0,205.0,533.0,355.0,3170.0,762.0,329.0,1313.0,693.0,916.0,1020.0,317.0,138.0,2708.0,0,1099.0,1037.0,1437.0,335.0,408.0,1136.0,897.0,1094.0,1928.0,1481.0,100.0,1289.0,95.0,377.0,1271.0,180.0,470.0,532.0,122.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,982.0,810.0,776.0,924,149.0,815.0,261.0,315.0,884.0,491.0,650.0,722.0,1041.0,144.0,1136.0,643.0,239.0,328.0,280.0,2175.0,489.0,241.0,915.0,512.0,735.0,677.0,198.0,109.0,1800.0,0,766.0,652.0,1029.0,302.0,303.0,781.0,730.0,742.0,1473.0,1023.0,102.0,670.0,95.0,301.0,924.0,208.0,338.0,531.0,84.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,852.0,813.0,670.0,1233,250.0,766.0,180.0,326.0,592.0,397.0,587.0,708.0,918.0,113.0,940.0,663.0,204.0,375.0,247.0,2024.0,564.0,199.0,793.0,497.0,610.0,719.0,190.0,118.0,1513.0,0,611.0,672.0,871.0,243.0,262.0,691.0,574.0,667.0,1157.0,1001.0,112.0,601.0,89.0,237.0,787.0,194.0,309.0,511.0,96.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,953.0,883.0,817.0,1173,222.0,843.0,201.0,265.0,780.0,432.0,648.0,699.0,1176.0,128.0,1158.0,652.0,144.0,414.0,285.0,2263.0,624.0,264.0,1010.0,509.0,678.0,702.0,219.0,86.0,1814.0,0,816.0,722.0,1065.0,244.0,321.0,815.0,652.0,713.0,1452.0,1123.0,88.0,852.0,63.0,250.0,880.0,126.0,352.0,405.0,100.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,999.0,809.0,775.0,1036,161.0,733.0,234.0,278.0,879.0,423.0,517.0,625.0,1087.0,142.0,1121.0,564.0,212.0,285.0,251.0,2079.0,423.0,214.0,821.0,527.0,607.0,667.0,214.0,132.0,1796.0,0,733.0,598.0,1030.0,288.0,228.0,765.0,634.0,779.0,1318.0,955.0,82.0,716.0,104.0,308.0,781.0,192.0,354.0,476.0,71.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,1.0,2.0,0.0,1,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,1299.0,1166.0,1050.0,1615,298.0,1189.0,279.0,489.0,975.0,597.0,976.0,974.0,1342.0,163.0,1435.0,1005.0,292.0,538.0,347.0,3026.0,769.0,291.0,1189.0,668.0,973.0,1047.0,271.0,148.0,2410.0,0,929.0,1041.0,1240.0,349.0,424.0,1029.0,919.0,1009.0,1786.0,1427.0,144.0,994.0,112.0,357.0,1319.0,264.0,410.0,695.0,130.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,1400.0,1159.0,1144.0,1548,290.0,1200.0,265.0,372.0,1125.0,587.0,883.0,896.0,1600.0,181.0,1576.0,924.0,233.0,511.0,383.0,3057.0,722.0,318.0,1392.0,752.0,924.0,987.0,295.0,130.0,2517.0,0,1088.0,971.0,1417.0,352.0,453.0,1078.0,861.0,1051.0,1884.0,1454.0,131.0,1147.0,104.0,379.0,1242.0,179.0,472.0,563.0,113.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,1127.0,990.0,920.0,1259,156.0,924.0,284.0,364.0,988.0,524.0,747.0,743.0,1209.0,149.0,1344.0,757.0,233.0,409.0,278.0,2542.0,585.0,265.0,972.0,505.0,818.0,813.0,256.0,119.0,2239.0,0,871.0,855.0,1103.0,317.0,294.0,923.0,861.0,857.0,1687.0,1211.0,79.0,891.0,98.0,339.0,1084.0,216.0,361.0,565.0,96.0
110,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,3.0,2.0,3.0,1,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
111,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,722.0,709.0,575.0,1018,234.0,641.0,165.0,297.0,520.0,341.0,511.0,659.0,794.0,103.0,794.0,539.0,181.0,316.0,221.0,1769.0,509.0,185.0,654.0,444.0,519.0,615.0,154.0,117.0,1263.0,0,518.0,535.0,817.0,212.0,225.0,608.0,482.0,594.0,987.0,840.0,104.0,522.0,77.0,193.0,653.0,187.0,284.0,447.0,92.0
112,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,1733.0,1491.0,1455.0,1564,326.0,1461.0,339.0,477.0,1396.0,689.0,1176.0,1185.0,1971.0,212.0,2029.0,1165.0,281.0,628.0,445.0,4013.0,950.0,406.0,1619.0,827.0,1170.0,1193.0,370.0,178.0,3289.0,0,1369.0,1217.0,1698.0,430.0,518.0,1397.0,1235.0,1337.0,2394.0,1882.0,148.0,1427.0,130.0,482.0,1619.0,225.0,558.0,731.0,144.0
113,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,725.0,639.0,600.0,929,135.0,568.0,205.0,247.0,658.0,390.0,438.0,495.0,810.0,117.0,878.0,485.0,182.0,255.0,213.0,1615.0,349.0,186.0,684.0,427.0,508.0,551.0,171.0,96.0,1360.0,0,571.0,554.0,839.0,232.0,198.0,581.0,468.0,572.0,1091.0,700.0,73.0,549.0,69.0,227.0,644.0,168.0,287.0,392.0,72.0
114,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
115,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,793.0,729.0,586.0,1331,219.0,736.0,170.0,309.0,581.0,374.0,525.0,617.0,824.0,104.0,805.0,569.0,185.0,354.0,225.0,1742.0,513.0,177.0,716.0,449.0,582.0,673.0,164.0,92.0,1371.0,0,534.0,591.0,800.0,219.0,257.0,631.0,502.0,592.0,1073.0,923.0,93.0,585.0,80.0,206.0,718.0,189.0,271.0,453.0,85.0
116,"DISTRICT COURT JUDGE, SHELBY COUNTY, PLACE NO. 1        ",REP,"James R. ""Jim"" Kramer                 ",2322.0,2206.0,2032.0,2978,283.0,2235.0,615.0,857.0,2219.0,1237.0,1695.0,1789.0,2591.0,391.0,2870.0,1827.0,566.0,1026.0,622.0,5650.0,1447.0,607.0,2312.0,939.0,1830.0,2008.0,573.0,307.0,4680.0,0,1714.0,1806.0,2373.0,743.0,802.0,2043.0,1809.0,1902.0,3602.0,2715.0,239.0,1961.0,244.0,640.0,2378.0,527.0,792.0,1317.0,187.0
117,"DISTRICT COURT JUDGE, SHELBY COUNTY, PLACE NO. 1        ",NON,Write-In                              ,60.0,33.0,33.0,37,15.0,23.0,3.0,9.0,16.0,8.0,11.0,10.0,72.0,3.0,45.0,8.0,3.0,10.0,9.0,90.0,14.0,9.0,39.0,36.0,15.0,29.0,2.0,0.0,75.0,0,41.0,26.0,58.0,6.0,6.0,35.0,21.0,41.0,58.0,36.0,1.0,45.0,0.0,16.0,17.0,3.0,9.0,3.0,3.0
118,"DISTRICT COURT JUDGE, SHELBY COUNTY, PLACE NO. 1        ",   ,Over Votes                            ,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"DISTRICT COURT JUDGE, SHELBY COUNTY, PLACE NO. 1        ",   ,Under Votes                           ,870.0,621.0,577.0,810,383.0,506.0,96.0,167.0,401.0,208.0,435.0,500.0,942.0,39.0,800.0,388.0,79.0,201.0,252.0,1632.0,357.0,153.0,670.0,729.0,416.0,379.0,130.0,59.0,1267.0,0,723.0,530.0,906.0,132.0,165.0,530.0,375.0,560.0,897.0,754.0,74.0,556.0,35.0,259.0,587.0,52.0,316.0,256.0,112.0
120,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 1        ",REP,Corley Ellis                          ,,,,238,,,625.0,743.0,13.0,,,1842.0,52.0,,,,519.0,,585.0,,,,,,,39.0,,,,0,,,281.0,750.0,,,,,,,21.0,,,,,,746.0,1335.0,
121,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 1        ",NON,Write-In                              ,,,,6,,,6.0,8.0,0.0,,,33.0,0.0,,,,4.0,,148.0,,,,,,,2.0,,,,0,,,3.0,24.0,,,,,,,9.0,,,,,,191.0,17.0,
122,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Over Votes                            ,,,,0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,0,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,1.0,
123,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Under Votes                           ,,,,38,,,83.0,151.0,0.0,,,424.0,8.0,,,,64.0,,139.0,,,,,,,7.0,,,,0,,,33.0,107.0,,,,,,,38.0,,,,,,180.0,223.0,
124,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 2        ",DEM,Kenneth Dukes                         ,0.0,,,67,435.0,,,9.0,,,,,780.0,,,,,,,,,,,926.0,,,,,,0,,,1038.0,,,10.0,,,,,,76.0,,,,,,,110.0
125,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 2        ",REP,Tommy Edwards                         ,1.0,,,122,220.0,,,85.0,,,,,1456.0,,,,,,,,,,,700.0,,,,,,0,,,1909.0,,,17.0,,,,,,166.0,,,,,,,180.0
126,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 2        ",NON,Write-In                              ,0.0,,,0,2.0,,,0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,0,,,3.0,,,0.0,,,,,,1.0,,,,,,,1.0
127,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Over Votes                            ,0.0,,,1,4.0,,,0.0,,,,,3.0,,,,,,,,,,,4.0,,,,,,0,,,8.0,,,0.0,,,,,,0.0,,,,,,,1.0
128,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Under Votes                           ,0.0,,,7,20.0,,,6.0,,,,,69.0,,,,,,,,,,,72.0,,,,,,0,,,62.0,,,0.0,,,,,,7.0,,,,,,,10.0
129,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 3        ",REP,Jon Parker                            ,,,2024.0,280,,,,,,,,,916.0,,1492.0,,,,,,,601.0,,,,,,315.0,,0,,,,,,,,1898.0,,,,,244.0,639.0,,,,,
130,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 3        ",NON,Write-In                              ,,,34.0,4,,,,,,,,,25.0,,23.0,,,,,,,10.0,,,,,,1.0,,0,,,,,,,,39.0,,,,,0.0,19.0,,,,,
131,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Over Votes                            ,,,1.0,0,,,,,,,,,1.0,,0.0,,,,,,,0.0,,,,,,0.0,,0,,,,,,,,0.0,,,,,0.0,0.0,,,,,
132,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Under Votes                           ,,,583.0,70,,,,,,,,,295.0,,452.0,,,,,,,158.0,,,,,,50.0,,0,,,,,,,,566.0,,,,,35.0,257.0,,,,,
133,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 4        ",REP,Ward Williams                         ,1471.0,,,235,,,,,,,,,,,1354.0,,,,,,,,,,,,,,1120.0,0,,,,,,2018.0,,,,,,1187.0,,,,,,,
134,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 4        ",NON,Write-In                              ,38.0,,,5,,,,,,,,,,,23.0,,,,,,,,,,,,,,21.0,0,,,,,,32.0,,,,,,28.0,,,,,,,
135,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 4        ",   ,Over Votes                            ,0.0,,,0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0,,,,,,1.0,,,,,,0.0,,,,,,,
136,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 4        ",   ,Under Votes                           ,600.0,,,93,,,,,,,,,,,371.0,,,,,,,,,,,,,,356.0,0,,,,,,531.0,,,,,,346.0,,,,,,,
137,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 5        ",REP,Elwyn Bearden                         ,849.0,,,276,,,,,,,,,,,,,,,,5650.0,,,,,,,,,928.0,0,,,,,,,1811.0,,,,,,,,,,,,
138,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 5        ",NON,Write-In                              ,21.0,,,3,,,,,,,,,,,,,,,,84.0,,,,,,,,,17.0,0,,,,,,,20.0,,,,,,,,,,,,
139,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 5        ",   ,Over Votes                            ,2.0,,,0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,0.0,,,,,,,,,,,,
140,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 5        ",   ,Under Votes                           ,270.0,,,76,,,,,,,,,,,,,,,,1638.0,,,,,,,,,287.0,0,,,,,,,374.0,,,,,,,,,,,,
141,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 6        ",REP,Mike Vest                             ,,2222.0,,396,,,,,,,1697.0,,,,,,,,,,,,,,,,,,,0,1715.0,1811.0,,,,,,,,,,,,,1809.0,,,,
142,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 6        ",NON,Write-In                              ,,31.0,,5,,,,,,,13.0,,,,,,,,,,,,,,,,,,,0,42.0,25.0,,,,,,,,,,,,,14.0,,,,
143,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 6        ",   ,Over Votes                            ,,0.0,,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,,,,,,,,,,,,0.0,,,,
144,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 6        ",   ,Under Votes                           ,,607.0,,154,,,,,,,431.0,,,,,,,,,,,,,,,,,,,0,721.0,526.0,,,,,,,,,,,,,467.0,,,,
145,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 7        ",REP,Lindsey Allison                       ,,,,403,,2245.0,,,,,,,,,,1848.0,,,,,,,2327.0,,1838.0,,,,,0,,,,,,,,,,,,,,,578.0,,,,
146,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 7        ",NON,Write-In                              ,,,,4,,33.0,,,,,,,,,,11.0,,,,,,,37.0,,15.0,,,,,0,,,,,,,,,,,,,,,3.0,,,,
147,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 7        ",   ,Over Votes                            ,,,,0,,1.0,,,,,,,,,,0.0,,,,,,,1.0,,0.0,,,,,0,,,,,,,,,,,,,,,0.0,,,,
148,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 7        ",   ,Under Votes                           ,,,,102,,484.0,,,,,,,,,,364.0,,,,,,,656.0,,408.0,,,,,0,,,,,,,,,,,,,,,111.0,,,,
149,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 8        ",REP,Rick Shepherd                         ,,,,553,,,,,,,,,,389.0,,,,1029.0,,,1446.0,,0.0,,,,,,,0,,,,,807.0,,,,2523.0,2711.0,213.0,,,,,528.0,,,
150,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 8        ",NON,Write-In                              ,,,,4,,,,,,,,,,4.0,,,,8.0,,,16.0,,0.0,,,,,,,0,,,,,6.0,,,,36.0,41.0,0.0,,,,,2.0,,,
151,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 8        ",   ,Over Votes                            ,,,,0,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,,,,,,,0,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,
152,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 8        ",   ,Under Votes                           ,,,,130,,,,,,,,,,40.0,,,,200.0,,,356.0,,0.0,,,,,,,0,,,,,160.0,,,,627.0,753.0,27.0,,,,,52.0,,,
153,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 9        ",REP,Robbie Hayes                          ,,,,459,,2.0,,27.0,2211.0,1239.0,,,,,,,52.0,,11.0,,,,,,,1981.0,568.0,,2616.0,0,,,,,,,,,1082.0,,4.0,581.0,,,,,,,
154,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 9        ",NON,Write-In                              ,,,,3,,0.0,,0.0,28.0,6.0,,,,,,,0.0,,0.0,,,,,,,23.0,2.0,,37.0,0,,,,,,,,,26.0,,0.0,8.0,,,,,,,
155,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 9        ",   ,Over Votes                            ,,,,0,,0.0,,0.0,0.0,1.0,,,,,,,0.0,,0.0,,,,,,,2.0,0.0,,1.0,0,,,,,,,,,0.0,,0.0,0.0,,,,,,,
156,"MEMBER, SHELBY COUNTY COMMISSION, DISTRICT NO. 9        ",   ,Under Votes                           ,,,,89,,0.0,,4.0,384.0,207.0,,,,,,,9.0,,0.0,,,,,,,363.0,135.0,,639.0,0,,,,,,,,,265.0,,2.0,162.0,,,,,,,
157,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 1   ",REP,Jane Hampton                          ,2317.0,2224.0,2023.0,2982,280.0,2265.0,619.0,854.0,2226.0,1231.0,1709.0,1785.0,2596.0,391.0,2857.0,1857.0,559.0,1031.0,626.0,5651.0,1444.0,601.0,2325.0,942.0,1837.0,2013.0,568.0,305.0,4678.0,0,1719.0,1821.0,2373.0,738.0,809.0,2031.0,1806.0,1907.0,3610.0,2736.0,240.0,1951.0,242.0,636.0,2414.0,527.0,785.0,1319.0,190.0
158,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 1   ",NON,Write-In                              ,64.0,29.0,33.0,28,18.0,22.0,2.0,8.0,16.0,7.0,14.0,8.0,72.0,4.0,38.0,11.0,2.0,8.0,8.0,88.0,15.0,10.0,36.0,37.0,13.0,25.0,3.0,0.0,73.0,0,47.0,22.0,52.0,7.0,6.0,31.0,20.0,38.0,56.0,36.0,1.0,44.0,0.0,18.0,17.0,2.0,13.0,4.0,3.0
159,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 1   ",   ,Over Votes                            ,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 1   ",   ,Under Votes                           ,870.0,606.0,586.0,813,383.0,478.0,93.0,171.0,393.0,215.0,418.0,506.0,936.0,38.0,820.0,355.0,85.0,198.0,249.0,1633.0,358.0,158.0,659.0,725.0,409.0,378.0,134.0,61.0,1269.0,0,712.0,519.0,911.0,136.0,158.0,547.0,379.0,557.0,893.0,733.0,73.0,567.0,37.0,261.0,551.0,53.0,319.0,253.0,109.0
161,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",REP,Aubrey Miller                         ,2322.0,2210.0,2032.0,2974,279.0,2241.0,617.0,857.0,2226.0,1231.0,1702.0,1797.0,2593.0,391.0,2853.0,1833.0,558.0,1029.0,627.0,5663.0,1448.0,596.0,2324.0,942.0,1824.0,2018.0,566.0,305.0,4688.0,0,1723.0,1821.0,2360.0,737.0,804.0,2037.0,1816.0,1905.0,3613.0,2725.0,238.0,1955.0,239.0,632.0,2396.0,525.0,786.0,1313.0,188.0
162,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",NON,Write-In                              ,62.0,33.0,33.0,30,16.0,25.0,3.0,7.0,16.0,10.0,12.0,7.0,71.0,3.0,40.0,10.0,3.0,10.0,7.0,84.0,14.0,9.0,35.0,37.0,15.0,24.0,2.0,0.0,68.0,0,44.0,27.0,57.0,9.0,6.0,35.0,17.0,36.0,56.0,33.0,1.0,41.0,0.0,16.0,17.0,2.0,8.0,4.0,3.0
163,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",   ,Over Votes                            ,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"MEMBER, SHELBY COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",   ,Under Votes                           ,867.0,617.0,577.0,820,386.0,499.0,94.0,169.0,394.0,212.0,427.0,495.0,941.0,39.0,822.0,380.0,87.0,198.0,249.0,1625.0,356.0,164.0,662.0,725.0,422.0,374.0,136.0,61.0,1266.0,0,711.0,514.0,920.0,135.0,163.0,537.0,372.0,562.0,890.0,747.0,74.0,566.0,40.0,267.0,569.0,55.0,323.0,259.0,111.0
165,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,Yes-Local Amendment No. 1             ,2051.0,1747.0,1703.0,2357,366.0,1762.0,392.0,598.0,1663.0,866.0,1334.0,1275.0,2276.0,241.0,2460.0,1393.0,351.0,752.0,452.0,4559.0,1052.0,455.0,1872.0,951.0,1392.0,1434.0,419.0,189.0,3820.0,0,1562.0,1463.0,2020.0,523.0,618.0,1604.0,1377.0,1577.0,2822.0,2142.0,173.0,1719.0,145.0,566.0,1878.0,258.0,624.0,861.0,140.0
166,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,No-Local Amendment No. 1              ,488.0,408.0,425.0,511,96.0,377.0,176.0,162.0,478.0,266.0,265.0,423.0,584.0,89.0,542.0,280.0,120.0,161.0,173.0,1100.0,255.0,119.0,450.0,290.0,342.0,367.0,119.0,74.0,973.0,0,360.0,331.0,589.0,170.0,128.0,430.0,334.0,380.0,729.0,488.0,47.0,369.0,61.0,165.0,444.0,147.0,203.0,314.0,54.0
167,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Over Votes                            ,2.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0
168,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Under Votes                           ,711.0,704.0,513.0,954,219.0,626.0,146.0,273.0,495.0,320.0,540.0,598.0,741.0,103.0,712.0,549.0,177.0,322.0,256.0,1709.0,509.0,195.0,697.0,461.0,527.0,613.0,167.0,103.0,1227.0,0,554.0,568.0,724.0,188.0,227.0,575.0,494.0,544.0,1004.0,874.0,94.0,474.0,73.0,183.0,658.0,177.0,287.0,399.0,108.0
