,Contest Title,Party,Candidate,ABERNANT BAPT CH,ABSENTEE,ALBERTA BAPTIST CH,BELK ACTIVITY CENTER,BIG SANDY BAPTIST,BOBBY MILLER ACTIVITY,BUHL VFD STATION,CARROLLS CREEK BAPT,CHAPEL HILL BAPT,CHURCH OF THE HIGHLANDS,COALING TOWN HALL,COKER FIRE DEPT_,COMM CH COTTONDALE,CORNERSTONE BAPT CH,COTTONDALE METH CH,COUNTY ROAD CAMP #3,DUNCANVILLE MIDDLE SCHOOL,ECHOLA VFD,ELROD VFD STATION,FLATWOODS BAPT,FOREST LAKE METH,FOSTERS FIRE DEPT_,G G HARDIN COMM CENTER,HAGLER COMMUNITY CENTER,HOLT ELEMENTARY,KELLERMAN ANTIOCH BAPT,LAKEVIEW BAPT CH,MARY PHELPS CENTER,MAYFIELD FIRE,MCABEE CENTER,MCDONALD HUGHES CC,MONTGOMERY FIRE DEPT_,MOUNT OLIVE BAPTIST CH,MOUNT PILGRIM BAPTIST CH,NEW ZION MISSIONARY CH,NORTHPORT CITY HALL,NORTHPORT COM CENTER,NORTHSIDE LIONS CLUB,OLD REX APPLIANCE BLDG_,PETERSON COMMUNITY CH,PROVISIONAL,RALPH FIRE DEPT_,ROMULUS FIRE DEPT_,SHERIFF'S FIRING RANGE,STATION 2 CARROLLS CREEK,STILLMAN COLL HAYS CTR,TANNEHILL VLY BAPT,TUSCAL CRTHOUSE ANNEX,U OF A STUDENT REC/CTR_,UNITY BAPT,UNIVERSITY MALL,VANCE TOWN HALL,VESTAVIA HILLS ELEM,WHITSON CHURCH OF CHRIST,WINDHAM SPRINGS BAPT,YELLOW CREEK BAPTIST CH
95,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,311.0,889,1113.0,1705.0,986.0,1979.0,118.0,999.0,661.0,1217.0,462.0,228.0,504.0,471.0,321.0,152.0,687.0,70.0,66.0,675.0,270.0,351.0,467.0,65.0,646.0,43.0,803.0,1199.0,31.0,689.0,1123.0,250.0,350.0,936.0,345.0,1173.0,639.0,232.0,969.0,226.0,8,167.0,114.0,76.0,334.0,1377.0,606.0,417.0,895.0,172.0,653.0,407.0,755.0,18.0,47.0,171.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,189.0,455,507.0,909.0,565.0,1042.0,67.0,469.0,379.0,605.0,320.0,128.0,280.0,189.0,225.0,87.0,369.0,49.0,37.0,397.0,115.0,214.0,285.0,44.0,332.0,34.0,594.0,522.0,22.0,374.0,224.0,142.0,204.0,496.0,139.0,588.0,343.0,143.0,376.0,114.0,7,114.0,58.0,29.0,172.0,395.0,378.0,178.0,418.0,62.0,328.0,300.0,381.0,6.0,68.0,94.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,1,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,320.0,1481,1127.0,1768.0,1125.0,2390.0,201.0,1469.0,985.0,1989.0,755.0,356.0,657.0,408.0,472.0,285.0,773.0,147.0,151.0,938.0,274.0,465.0,503.0,128.0,512.0,88.0,929.0,1685.0,46.0,883.0,641.0,416.0,565.0,900.0,365.0,1518.0,798.0,372.0,702.0,323.0,18,307.0,137.0,132.0,477.0,844.0,697.0,488.0,856.0,159.0,823.0,479.0,1111.0,15.0,73.0,322.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,328.0,1012,1334.0,2076.0,1177.0,2485.0,153.0,1198.0,823.0,1668.0,558.0,251.0,550.0,568.0,354.0,163.0,750.0,92.0,69.0,799.0,296.0,412.0,546.0,85.0,766.0,41.0,888.0,1534.0,31.0,846.0,1254.0,286.0,399.0,1150.0,421.0,1446.0,820.0,274.0,1162.0,238.0,14,182.0,116.0,79.0,367.0,1604.0,651.0,506.0,1012.0,221.0,782.0,473.0,926.0,6.0,54.0,217.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,277.0,645,696.0,1230.0,806.0,1565.0,111.0,907.0,582.0,969.0,514.0,210.0,517.0,174.0,362.0,173.0,598.0,78.0,66.0,614.0,191.0,307.0,437.0,62.0,369.0,69.0,920.0,863.0,31.0,576.0,232.0,266.0,362.0,600.0,153.0,966.0,463.0,232.0,404.0,230.0,7,177.0,86.0,54.0,310.0,392.0,641.0,302.0,500.0,74.0,471.0,410.0,655.0,13.0,88.0,169.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,2,2.0,5.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,215.0,1165,715.0,1073.0,693.0,1357.0,122.0,832.0,618.0,1173.0,464.0,251.0,374.0,326.0,302.0,188.0,480.0,96.0,118.0,595.0,172.0,311.0,272.0,90.0,355.0,55.0,518.0,1010.0,37.0,524.0,502.0,256.0,358.0,582.0,274.0,868.0,497.0,242.0,482.0,195.0,13,229.0,107.0,104.0,306.0,620.0,389.0,275.0,657.0,98.0,550.0,301.0,665.0,20.0,46.0,201.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,220.0,758,1065.0,1581.0,906.0,1849.0,95.0,879.0,568.0,1230.0,406.0,208.0,425.0,471.0,278.0,118.0,582.0,73.0,42.0,615.0,226.0,331.0,362.0,58.0,611.0,31.0,659.0,1150.0,19.0,633.0,1144.0,207.0,305.0,902.0,350.0,1065.0,613.0,189.0,978.0,172.0,10,160.0,85.0,48.0,267.0,1437.0,475.0,350.0,765.0,163.0,543.0,323.0,657.0,6.0,36.0,174.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,273.0,684,626.0,1137.0,741.0,1343.0,95.0,729.0,563.0,771.0,428.0,177.0,409.0,208.0,316.0,133.0,522.0,50.0,72.0,522.0,184.0,259.0,432.0,53.0,404.0,52.0,841.0,722.0,31.0,512.0,232.0,218.0,285.0,588.0,156.0,815.0,412.0,203.0,410.0,193.0,8,135.0,86.0,52.0,269.0,394.0,599.0,285.0,623.0,86.0,465.0,419.0,564.0,14.0,75.0,106.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,327.0,1387,1054.0,1661.0,1030.0,2220.0,195.0,1328.0,893.0,1809.0,702.0,327.0,607.0,389.0,424.0,273.0,725.0,143.0,140.0,873.0,249.0,440.0,461.0,126.0,475.0,82.0,825.0,1536.0,49.0,801.0,612.0,383.0,528.0,841.0,343.0,1399.0,754.0,356.0,660.0,297.0,15,293.0,138.0,137.0,447.0,785.0,607.0,448.0,781.0,144.0,796.0,444.0,1025.0,19.0,77.0,307.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,347.0,964,1274.0,1923.0,1192.0,2325.0,145.0,1196.0,785.0,1525.0,583.0,275.0,593.0,465.0,428.0,165.0,823.0,91.0,80.0,821.0,318.0,398.0,513.0,83.0,750.0,60.0,941.0,1442.0,35.0,810.0,1075.0,330.0,401.0,1007.0,372.0,1435.0,738.0,294.0,1009.0,278.0,12,188.0,114.0,75.0,376.0,1358.0,664.0,474.0,1011.0,171.0,751.0,463.0,905.0,8.0,66.0,237.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,269.0,866,867.0,1485.0,882.0,1917.0,126.0,1054.0,689.0,1241.0,526.0,213.0,525.0,291.0,319.0,178.0,588.0,89.0,67.0,685.0,211.0,365.0,492.0,65.0,420.0,57.0,930.0,1111.0,28.0,675.0,445.0,259.0,397.0,795.0,219.0,1084.0,605.0,240.0,593.0,201.0,10,183.0,97.0,70.0,359.0,663.0,670.0,392.0,586.0,127.0,584.0,449.0,787.0,13.0,75.0,167.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0.0,0,5.0,5.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
110,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,204.0,1000,601.0,971.0,603.0,1168.0,115.0,684.0,551.0,1042.0,427.0,224.0,323.0,312.0,270.0,181.0,418.0,86.0,106.0,502.0,130.0,267.0,250.0,89.0,320.0,48.0,455.0,854.0,36.0,459.0,468.0,219.0,320.0,529.0,256.0,760.0,437.0,214.0,445.0,184.0,12,217.0,98.0,92.0,247.0,593.0,347.0,217.0,571.0,95.0,469.0,274.0,550.0,18.0,47.0,183.0
111,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,383.0,1007,1621.0,2494.0,1486.0,3166.0,198.0,1577.0,1050.0,2070.0,771.0,332.0,789.0,591.0,498.0,230.0,963.0,121.0,94.0,1084.0,373.0,530.0,637.0,125.0,877.0,68.0,1237.0,1818.0,55.0,1011.0,1308.0,425.0,551.0,1383.0,462.0,1825.0,987.0,357.0,1279.0,319.0,17,275.0,140.0,110.0,501.0,1752.0,935.0,604.0,1152.0,238.0,934.0,563.0,1220.0,24.0,91.0,292.0
112,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,238.0,631,483.0,884.0,585.0,1062.0,84.0,639.0,415.0,689.0,362.0,157.0,325.0,152.0,255.0,120.0,435.0,48.0,57.0,414.0,124.0,227.0,356.0,44.0,290.0,53.0,661.0,625.0,22.0,432.0,190.0,169.0,245.0,412.0,142.0,670.0,326.0,183.0,335.0,151.0,5,109.0,70.0,46.0,231.0,298.0,430.0,210.0,364.0,59.0,355.0,329.0,461.0,6.0,59.0,117.0
113,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,199.0,1188,643.0,1004.0,605.0,1183.0,104.0,719.0,559.0,1052.0,403.0,223.0,326.0,325.0,265.0,174.0,431.0,97.0,103.0,509.0,162.0,273.0,262.0,68.0,323.0,44.0,427.0,963.0,22.0,503.0,490.0,214.0,323.0,537.0,245.0,784.0,465.0,207.0,434.0,193.0,11,203.0,99.0,81.0,250.0,566.0,316.0,269.0,653.0,96.0,515.0,294.0,566.0,9.0,38.0,178.0
115,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 1    ",REP,Joanne Jannik                         ,713.0,1764,1203.0,2034.0,1622.0,3300.0,324.0,2494.0,1612.0,2756.0,1219.0,605.0,1008.0,290.0,760.0,404.0,1390.0,228.0,216.0,1357.0,440.0,595.0,1103.0,204.0,613.0,144.0,2020.0,2601.0,81.0,999.0,149.0,691.0,950.0,864.0,273.0,2315.0,957.0,631.0,568.0,524.0,24,364.0,228.0,209.0,805.0,318.0,1405.0,710.0,1601.0,111.0,1059.0,954.0,1604.0,34.0,164.0,511.0
116,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 1    ",NON,Write-In                              ,4.0,35,100.0,151.0,58.0,123.0,2.0,15.0,14.0,37.0,10.0,3.0,33.0,43.0,19.0,1.0,32.0,0.0,2.0,29.0,13.0,21.0,9.0,0.0,64.0,1.0,13.0,35.0,0.0,47.0,63.0,1.0,9.0,102.0,26.0,56.0,49.0,1.0,65.0,1.0,1,4.0,2.0,2.0,4.0,100.0,14.0,25.0,53.0,7.0,60.0,11.0,32.0,0.0,0.0,1.0
117,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 1    ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 1    ",   ,Under Votes                           ,103.0,1022,1444.0,2199.0,997.0,1990.0,60.0,428.0,399.0,1018.0,308.0,104.0,400.0,735.0,239.0,119.0,407.0,38.0,36.0,624.0,206.0,414.0,143.0,33.0,813.0,20.0,293.0,772.0,18.0,900.0,1776.0,116.0,160.0,1366.0,550.0,909.0,774.0,116.0,1415.0,138.0,9,220.0,79.0,26.0,174.0,2199.0,262.0,348.0,515.0,275.0,684.0,221.0,610.0,5.0,24.0,75.0
119,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 2    ",REP,Jim Gentry                            ,721.0,1766,1204.0,2046.0,1638.0,3338.0,328.0,2511.0,1621.0,2824.0,1235.0,613.0,1014.0,284.0,763.0,407.0,1399.0,232.0,217.0,1388.0,441.0,599.0,1110.0,208.0,612.0,144.0,2033.0,2631.0,80.0,1001.0,148.0,700.0,959.0,870.0,280.0,2325.0,976.0,636.0,573.0,529.0,22,372.0,235.0,211.0,813.0,322.0,1414.0,700.0,1601.0,108.0,1060.0,963.0,1618.0,34.0,164.0,512.0
120,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 2    ",NON,Write-In                              ,3.0,35,99.0,148.0,55.0,119.0,3.0,12.0,15.0,38.0,9.0,2.0,33.0,44.0,21.0,1.0,30.0,1.0,0.0,27.0,10.0,21.0,10.0,0.0,64.0,1.0,10.0,34.0,0.0,48.0,61.0,0.0,8.0,102.0,25.0,54.0,46.0,1.0,63.0,1.0,1,3.0,3.0,1.0,3.0,94.0,14.0,26.0,52.0,7.0,60.0,7.0,32.0,0.0,0.0,1.0
121,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 2    ",   ,Over Votes                            ,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"DISTRICT COURT JUDGE, TUSCALOOSA COUNTY, PLACE NO. 2    ",   ,Under Votes                           ,96.0,1019,1443.0,2190.0,984.0,1956.0,55.0,414.0,389.0,949.0,293.0,97.0,394.0,740.0,234.0,115.0,400.0,33.0,36.0,595.0,208.0,410.0,135.0,29.0,814.0,20.0,283.0,743.0,19.0,897.0,1779.0,108.0,152.0,1360.0,544.0,901.0,758.0,111.0,1412.0,133.0,9,213.0,71.0,25.0,166.0,2201.0,253.0,356.0,516.0,278.0,684.0,216.0,597.0,5.0,24.0,74.0
123,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",DEM,Molly Donlon Lusian                   ,,273,,,,,,296.0,331.0,938.0,,,,,,87.0,,23.0,,596.0,,,,,,,,753.0,12.0,,,74.0,121.0,,,887.0,,80.0,,,1,,,14.0,130.0,,,,,,,,596.0,5.0,20.0,46.0
124,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",REP,Stan Acker                            ,,801,,,,,,2572.0,1636.0,2661.0,,,,,,419.0,,237.0,,1349.0,,,,,,,,2504.0,85.0,,,715.0,971.0,,,2299.0,,649.0,,,6,,,220.0,834.0,,,,,,,,1549.0,32.0,166.0,523.0
125,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",NON,Write-In                              ,,2,,,,,,1.0,3.0,1.0,,,,,,0.0,,0.0,,3.0,,,,,,,,5.0,0.0,,,2.0,1.0,,,4.0,,3.0,,,0,,,0.0,2.0,,,,,,,,3.0,0.0,1.0,1.0
126,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Over Votes                            ,,0,,,,,,2.0,0.0,3.0,,,,,,0.0,,0.0,,0.0,,,,,,,,3.0,0.0,,,0.0,1.0,,,5.0,,0.0,,,0,,,0.0,0.0,,,,,,,,2.0,0.0,0.0,2.0
127,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Under Votes                           ,,49,,,,,,66.0,55.0,208.0,,,,,,18.0,,6.0,,62.0,,,,,,,,143.0,2.0,,,17.0,25.0,,,85.0,,16.0,,,0,,,3.0,17.0,,,,,,,,97.0,2.0,1.0,15.0
128,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",REP,Jerry Tingle                          ,732.0,253,414.0,,,,,,,,1238.0,,1030.0,,779.0,,,,,,,,1110.0,,645.0,149.0,2050.0,,,158.0,,,,,,,,,,538.0,6,,,,,,1429.0,551.0,761.0,,,981.0,,,,
129,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",NON,Write-In                              ,4.0,7,68.0,,,,,,,,14.0,,34.0,,21.0,,,,,,,,13.0,,63.0,1.0,19.0,,,6.0,,,,,,,,,,3.0,0,,,,,,15.0,20.0,34.0,,,11.0,,,,
130,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",   ,Over Votes                            ,0.0,0,1.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,0.0,0,,,,,,0.0,0.0,0.0,,,0.0,,,,
131,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",   ,Under Votes                           ,84.0,112,923.0,,,,,,,,285.0,,377.0,,218.0,,,,,,,,132.0,,782.0,15.0,256.0,,,88.0,,,,,,,,,,122.0,4,,,,,,237.0,271.0,306.0,,,194.0,,,,
132,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",REP,Mark C. Nelson                        ,,405,624.0,1459.0,1424.0,2984.0,,,,,,,,,,,1083.0,,,,353.0,,,181.0,,,,,,695.0,,,,,,,,,,,6,,,,,,,,678.0,,835.0,,,,,
133,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",IND,Marshall Bailey                       ,,141,278.0,871.0,527.0,1056.0,,,,,,,,,,,189.0,,,,106.0,,,9.0,,,,,,363.0,,,,,,,,,,,2,,,,,,,,167.0,,355.0,,,,,
134,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",IND,John Downer                           ,,65,105.0,336.0,192.0,348.0,,,,,,,,,,,351.0,,,,79.0,,,47.0,,,,,,150.0,,,,,,,,,,,2,,,,,,,,54.0,,200.0,,,,,
135,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",NON,Write-In                              ,,4,7.0,35.0,16.0,34.0,,,,,,,,,,,10.0,,,,4.0,,,0.0,,,,,,18.0,,,,,,,,,,,0,,,,,,,,5.0,,12.0,,,,,
136,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",   ,Over Votes                            ,,0,0.0,3.0,1.0,8.0,,,,,,,,,,,0.0,,,,1.0,,,0.0,,,,,,0.0,,,,,,,,,,,0,,,,,,,,2.0,,2.0,,,,,
137,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",   ,Under Votes                           ,,145,327.0,1011.0,517.0,983.0,,,,,,,,,,,196.0,,,,116.0,,,0.0,,,,,,468.0,,,,,,,,,,,1,,,,,,,,162.0,,400.0,,,,,
138,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",DEM,Reginald Murray                       ,,384,,569.0,,,153.0,,,,,250.0,,947.0,,,,,90.0,,,610.0,,,,,,,,,1912.0,,,1809.0,678.0,,1099.0,,1720.0,,4,289.0,152.0,,,2448.0,,155.0,,335.0,,,,,,
139,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",NON,Write-In                              ,,13,,10.0,,,20.0,,,,,19.0,,17.0,,,,,12.0,,,34.0,,,,,,,,,14.0,,,39.0,14.0,,42.0,,29.0,,0,24.0,10.0,,,30.0,,10.0,,2.0,,,,,,
140,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",   ,Over Votes                            ,,0,,1.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,2.0,0.0,,0.0,,0.0,,0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,
141,"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",   ,Under Votes                           ,,179,,89.0,,,213.0,,,,,443.0,,104.0,,,,,152.0,,,386.0,,,,,,,,,62.0,,,482.0,157.0,,639.0,,299.0,,1,275.0,147.0,,,139.0,,76.0,,56.0,,,,,,
142,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",REP,Charles E. Orr                        ,,223,,,1559.0,3304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3,,,,,,,,,,,,,,,
143,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",NON,Write-In                              ,,6,,,47.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,
144,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",   ,Over Votes                            ,,0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,
145,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",   ,Under Votes                           ,,122,,,794.0,1898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1,,,,,,,,,,,,,,,
146,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",REP,Randy Smalley                         ,,119,,92.0,93.0,,,,,,1237.0,,564.0,,657.0,,1378.0,,,,,,0.0,213.0,,,,,,12.0,,,,,,,,,,512.0,2,,,,,,,,,,,253.0,,,,
147,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",NON,Write-In                              ,,1,,1.0,10.0,,,,,,7.0,,12.0,,14.0,,36.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,1.0,0,,,,,,,,,,,2.0,,,,
148,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",   ,Over Votes                            ,,0,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,0,,,,,,,,,,,0.0,,,,
149,"MEMBER, TUSCALOOSA COUNTY BOARD OF EDUCATION,           ",   ,Under Votes                           ,,36,,28.0,173.0,,,,,,293.0,,160.0,,171.0,,331.0,,,,,,0.0,24.0,,,,,,19.0,,,,,,,,,,128.0,1,,,,,,,,,,,53.0,,,,
