,Contest Title,Party,Candidate,1ST BAPTIST CHURCH,A & M UNIVERSITY NEW GYM,ABSENTEE,ALDERSGATE UNITED METH_,ALL NATIONS CHURCH,BOB HARRISON SR_ CTR_,BOBO VOLUNTEER FIRE,BROWNSBORO BAPT_ CHURCH,CAVALRY FRIENDSHIP CTR_,CHARLES STONE AG_ CTR_,CO_ COMMISSION DIST_ 1,COMMUNITY FELLOWSHIP,COVE CHURCH AT CHASE,COVE UNITED METHODIST CH_,COVENANT PRESBYTERIAN CH_,DR_ RICHARD SHOWERS CTR_,FAITH LUTHERAN,FIRE & RESCUE TRAINING,FIRST BAPT_ MERIDANVILLE,FIRST CHURH OF GOD MADISO,FIRST MISSIONARY BAPTIST,GRACE UNITED METHODIST,GURLEY SENIOR CENTER,HAMPTON COVE CHURCH,HAROLD HARBIN GYM,HARVEST BAPTIST CHURCH,HILLWOOD BAPTIST CHURCH,INTERGRAPH CORP_,JACKSON WAY BAPTIST,LAKEWOOD COMMUNITY CTR_,LEWIS CHAPEL C_P_ CHURCH,LITTLE INDIAN CREEK CH_,LOCUST GROVE BAPTIST,MADISON BAPTIST CHURCH,MADISON CHURCH OF CHRIST,MADISON CITY HALL,MADISON CO_ NATURE TRAIL,MADISON MISSION 7 DAY ADV,MARY KELLY JOHNSTON GYM,MAYSVILLE CHURCH  CHRIST,MERIDANVILLE CH OF CHRIST,MONROVIA CH_ OF CHRIST,MONROVIA COMM_ CENTER,MONTE SANO FIRE STATION 2,MOUNTAINVIEW BAPTIST,MT_ ZION BAPTIST CHURCH,NEW HOPE CITY HALL,NEW MARKET FIRE STATION,NEW SHILOH CHURCH,NORTHEAST HUNTSVILLE,OAKWOOD UNIVERSITY CHURCH,OPTIMIST PARK,OWENS CROSS RDS CITY HALL,PINEVIEW BAPTIST CHURCH,PLAINVIEW CHURCH CHRIST,PLEASANT SPRINGS BAPTIST,PLEVNA NEW MARKET FIRE #2,PROVISIONAL,RESTORATION CHURCH,RIVERTREE CHURCH,SHERWOOD BAPTIST CH_,SOUTHWOOD PRESBYTERIAN,ST_ JOHN'S CATHOLIC CHURC,ST_ LUKE CHRISTIAN,THE DWELLING PLACE,TONEY UNITED METHODIST,TRIANA CITY HALL,TRINITY UNITED METHODIST,TRINTY PRESBYTERIAN,WEATHERLY HGTS BAPTIST,WEST HUNTSVILLE BAPTIST,WESTSIDE COMMUNITY CTR,WHITESBURG CENTER,WILLOWBROOK BAPTIST
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,1462.0,627.0,4152,1646.0,1042.0,589.0,975.0,791.0,405.0,225.0,727.0,1253.0,1937.0,1814.0,1011.0,499.0,1907.0,366.0,808.0,877.0,597.0,1583.0,453.0,962.0,758.0,1023.0,1438.0,1903.0,660.0,432.0,127.0,1495.0,1026.0,1624.0,884.0,1344.0,258.0,1229.0,457.0,1391.0,1163.0,1987.0,1791.0,381.0,701.0,2120.0,808.0,472.0,380.0,518.0,1171.0,886.0,877.0,722.0,726.0,150.0,216.0,330,1571.0,1738.0,1421.0,903.0,2000.0,815.0,1674.0,1069.0,762.0,1401.0,434.0,1432.0,599.0,80.0,1385.0,1919.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,645.0,454.0,2033,847.0,663.0,768.0,659.0,479.0,414.0,144.0,534.0,695.0,1228.0,777.0,434.0,432.0,1019.0,425.0,503.0,495.0,761.0,853.0,316.0,383.0,484.0,727.0,746.0,935.0,399.0,441.0,126.0,928.0,633.0,807.0,484.0,689.0,105.0,671.0,293.0,857.0,714.0,1234.0,1068.0,179.0,308.0,1319.0,538.0,333.0,488.0,313.0,1360.0,502.0,492.0,523.0,477.0,136.0,126.0,202,752.0,842.0,781.0,364.0,956.0,920.0,913.0,799.0,509.0,817.0,234.0,757.0,368.0,80.0,674.0,1001.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1.0,4.0,6,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,723.0,197.0,3135,789.0,608.0,535.0,546.0,508.0,347.0,211.0,647.0,620.0,1156.0,877.0,539.0,383.0,764.0,332.0,467.0,300.0,489.0,542.0,303.0,416.0,448.0,491.0,697.0,744.0,407.0,244.0,98.0,713.0,472.0,588.0,364.0,605.0,107.0,574.0,303.0,687.0,720.0,837.0,727.0,214.0,315.0,887.0,657.0,322.0,335.0,272.0,767.0,638.0,577.0,348.0,482.0,68.0,202.0,0,640.0,855.0,583.0,510.0,714.0,351.0,697.0,602.0,320.0,808.0,221.0,684.0,302.0,57.0,614.0,1018.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,1200.0,512.0,3023,1351.0,882.0,521.0,865.0,660.0,371.0,196.0,649.0,1029.0,1686.0,1423.0,809.0,397.0,1533.0,324.0,661.0,725.0,524.0,1264.0,404.0,740.0,656.0,820.0,1214.0,1601.0,564.0,372.0,131.0,1221.0,856.0,1320.0,721.0,1083.0,196.0,1004.0,396.0,1195.0,992.0,1632.0,1419.0,304.0,595.0,1840.0,721.0,388.0,335.0,451.0,1012.0,776.0,757.0,642.0,658.0,140.0,161.0,257,1268.0,1438.0,1167.0,745.0,1618.0,733.0,1408.0,952.0,645.0,1210.0,347.0,1183.0,480.0,71.0,1092.0,1555.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,730.0,570.0,2437,985.0,770.0,803.0,729.0,521.0,430.0,152.0,569.0,788.0,1340.0,966.0,520.0,497.0,1249.0,445.0,575.0,579.0,800.0,1073.0,317.0,505.0,516.0,867.0,849.0,1104.0,423.0,486.0,118.0,1078.0,742.0,982.0,564.0,817.0,134.0,793.0,314.0,948.0,804.0,1408.0,1282.0,188.0,344.0,1453.0,539.0,369.0,518.0,336.0,1456.0,529.0,535.0,543.0,480.0,141.0,150.0,231,914.0,1009.0,921.0,436.0,1104.0,966.0,1049.0,834.0,577.0,898.0,288.0,846.0,430.0,87.0,781.0,1170.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,2.0,1,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,901.0,198.0,3832,946.0,661.0,568.0,587.0,596.0,366.0,232.0,690.0,749.0,1295.0,1080.0,656.0,420.0,909.0,354.0,543.0,368.0,523.0,645.0,351.0,516.0,519.0,554.0,822.0,881.0,479.0,259.0,102.0,837.0,533.0,714.0,449.0,738.0,140.0,677.0,343.0,792.0,802.0,1018.0,883.0,282.0,383.0,1032.0,740.0,370.0,349.0,316.0,830.0,721.0,653.0,408.0,547.0,73.0,233.0,0,783.0,989.0,694.0,595.0,947.0,387.0,829.0,685.0,368.0,919.0,253.0,843.0,359.0,59.0,799.0,1215.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,874.0,580.0,2672,1030.0,801.0,447.0,755.0,532.0,327.0,165.0,518.0,798.0,1284.0,1170.0,573.0,373.0,1324.0,301.0,560.0,582.0,472.0,1085.0,336.0,654.0,516.0,775.0,900.0,1306.0,428.0,351.0,101.0,938.0,715.0,1077.0,602.0,859.0,142.0,875.0,355.0,933.0,803.0,1371.0,1231.0,205.0,420.0,1453.0,636.0,312.0,278.0,380.0,877.0,543.0,606.0,512.0,549.0,137.0,135.0,268,968.0,1189.0,1041.0,540.0,1196.0,652.0,1242.0,831.0,632.0,958.0,323.0,879.0,470.0,73.0,904.0,1194.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,370.0,482.0,1365,506.0,532.0,781.0,435.0,330.0,411.0,138.0,362.0,448.0,897.0,490.0,303.0,461.0,757.0,393.0,376.0,305.0,725.0,687.0,190.0,241.0,317.0,582.0,510.0,698.0,256.0,439.0,117.0,635.0,457.0,568.0,327.0,430.0,77.0,496.0,174.0,527.0,473.0,904.0,801.0,111.0,217.0,971.0,331.0,209.0,486.0,207.0,1319.0,340.0,323.0,372.0,294.0,114.0,74.0,158,541.0,555.0,560.0,250.0,600.0,892.0,617.0,515.0,385.0,576.0,178.0,497.0,306.0,79.0,429.0,585.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,1587.0,220.0,5219,1746.0,981.0,665.0,991.0,916.0,430.0,277.0,1028.0,1322.0,2140.0,1807.0,1109.0,481.0,1612.0,431.0,842.0,785.0,650.0,1210.0,546.0,867.0,858.0,883.0,1472.0,1580.0,782.0,328.0,133.0,1562.0,959.0,1372.0,804.0,1350.0,251.0,1104.0,524.0,1476.0,1322.0,1783.0,1554.0,458.0,687.0,1903.0,1037.0,606.0,439.0,516.0,1105.0,1143.0,1016.0,709.0,842.0,104.0,335.0,0,1455.0,1693.0,1184.0,987.0,1875.0,542.0,1427.0,1124.0,573.0,1495.0,388.0,1497.0,494.0,65.0,1341.0,2160.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,1621.0,732.0,5011,1968.0,1240.0,707.0,1287.0,980.0,459.0,249.0,977.0,1554.0,2340.0,2164.0,1137.0,542.0,2296.0,417.0,994.0,1078.0,669.0,1834.0,584.0,1110.0,924.0,1331.0,1671.0,2201.0,771.0,464.0,156.0,1872.0,1302.0,1921.0,1079.0,1569.0,294.0,1495.0,584.0,1766.0,1468.0,2570.0,2196.0,396.0,746.0,2633.0,994.0,616.0,451.0,610.0,1296.0,1025.0,1078.0,919.0,963.0,201.0,273.0,390,1862.0,2116.0,1693.0,1000.0,2344.0,942.0,2121.0,1436.0,952.0,1650.0,522.0,1696.0,737.0,96.0,1658.0,2287.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,575.0,359.0,1488,640.0,482.0,678.0,435.0,352.0,365.0,114.0,396.0,469.0,911.0,586.0,380.0,387.0,754.0,373.0,389.0,348.0,702.0,688.0,215.0,305.0,386.0,488.0,590.0,729.0,349.0,415.0,103.0,647.0,415.0,597.0,348.0,544.0,89.0,494.0,207.0,592.0,497.0,793.0,762.0,167.0,314.0,931.0,410.0,234.0,425.0,242.0,1273.0,414.0,345.0,364.0,303.0,99.0,80.0,152,566.0,637.0,596.0,320.0,707.0,824.0,585.0,525.0,370.0,644.0,163.0,622.0,245.0,70.0,497.0,769.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1.0,1.0,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,634.0,190.0,2834,677.0,592.0,508.0,459.0,446.0,341.0,217.0,534.0,544.0,1069.0,717.0,467.0,385.0,644.0,334.0,395.0,245.0,476.0,459.0,272.0,346.0,380.0,421.0,621.0,651.0,346.0,237.0,92.0,617.0,413.0,499.0,306.0,526.0,87.0,486.0,261.0,578.0,633.0,695.0,627.0,210.0,263.0,761.0,600.0,277.0,326.0,250.0,735.0,587.0,522.0,309.0,419.0,54.0,191.0,0,537.0,683.0,495.0,456.0,618.0,320.0,579.0,506.0,267.0,734.0,204.0,555.0,287.0,50.0,516.0,882.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,756.0,541.0,2317,852.0,731.0,461.0,591.0,443.0,308.0,153.0,453.0,676.0,1058.0,974.0,522.0,340.0,1130.0,259.0,471.0,475.0,409.0,977.0,274.0,534.0,446.0,679.0,775.0,1132.0,374.0,304.0,92.0,763.0,595.0,931.0,509.0,709.0,122.0,777.0,288.0,778.0,682.0,1160.0,1035.0,163.0,370.0,1247.0,501.0,276.0,268.0,333.0,770.0,479.0,498.0,446.0,476.0,125.0,117.0,240,814.0,950.0,890.0,428.0,949.0,616.0,1014.0,697.0,525.0,839.0,301.0,721.0,451.0,64.0,724.0,968.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,502.0,520.0,1740,693.0,594.0,759.0,579.0,411.0,431.0,143.0,438.0,595.0,1096.0,723.0,372.0,485.0,987.0,422.0,466.0,417.0,764.0,839.0,245.0,367.0,391.0,684.0,655.0,912.0,316.0,473.0,122.0,816.0,576.0,707.0,423.0,596.0,101.0,618.0,235.0,688.0,600.0,1122.0,1003.0,146.0,263.0,1175.0,437.0,248.0,484.0,249.0,1405.0,403.0,438.0,440.0,366.0,126.0,89.0,190,710.0,777.0,739.0,376.0,882.0,927.0,816.0,662.0,486.0,708.0,205.0,653.0,326.0,84.0,611.0,837.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,2.0,0.0,5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,1571.0,221.0,5201,1737.0,989.0,674.0,1011.0,924.0,428.0,284.0,1017.0,1295.0,2165.0,1772.0,1091.0,490.0,1577.0,443.0,841.0,780.0,674.0,1164.0,552.0,860.0,854.0,878.0,1455.0,1540.0,776.0,340.0,137.0,1555.0,959.0,1379.0,801.0,1334.0,247.0,1080.0,530.0,1471.0,1317.0,1774.0,1547.0,465.0,690.0,1903.0,1066.0,603.0,451.0,520.0,1122.0,1144.0,1009.0,707.0,843.0,104.0,338.0,0,1440.0,1709.0,1156.0,973.0,1838.0,543.0,1457.0,1111.0,576.0,1483.0,383.0,1500.0,493.0,69.0,1338.0,2135.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,844.0,692.0,2641,958.0,801.0,917.0,743.0,544.0,499.0,191.0,512.0,817.0,1319.0,1066.0,577.0,541.0,1306.0,474.0,606.0,557.0,825.0,1186.0,324.0,602.0,500.0,848.0,906.0,1280.0,424.0,578.0,157.0,1002.0,731.0,1099.0,610.0,849.0,140.0,892.0,324.0,950.0,819.0,1457.0,1313.0,188.0,425.0,1510.0,566.0,318.0,587.0,377.0,1578.0,563.0,584.0,560.0,539.0,144.0,148.0,296,958.0,1146.0,1035.0,514.0,1131.0,1123.0,1176.0,882.0,660.0,952.0,321.0,884.0,492.0,114.0,848.0,1166.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,359.0,363.0,1320,552.0,509.0,292.0,419.0,306.0,221.0,104.0,359.0,431.0,815.0,554.0,280.0,266.0,759.0,199.0,338.0,314.0,340.0,588.0,190.0,267.0,327.0,492.0,491.0,711.0,254.0,201.0,58.0,530.0,426.0,508.0,300.0,415.0,79.0,471.0,186.0,503.0,450.0,796.0,690.0,112.0,200.0,871.0,372.0,192.0,168.0,196.0,576.0,287.0,331.0,310.0,276.0,101.0,67.0,132,531.0,542.0,573.0,268.0,655.0,412.0,631.0,458.0,335.0,559.0,175.0,481.0,278.0,33.0,446.0,597.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,1.0,3.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,1627.0,224.0,5299,1775.0,1004.0,684.0,1019.0,928.0,448.0,285.0,1037.0,1319.0,2187.0,1849.0,1128.0,507.0,1629.0,451.0,835.0,801.0,682.0,1206.0,557.0,893.0,864.0,901.0,1486.0,1593.0,788.0,338.0,136.0,1602.0,974.0,1411.0,824.0,1375.0,251.0,1111.0,543.0,1483.0,1329.0,1805.0,1583.0,474.0,699.0,1947.0,1066.0,617.0,448.0,530.0,1146.0,1176.0,1031.0,723.0,870.0,110.0,329.0,0,1477.0,1749.0,1176.0,995.0,1884.0,551.0,1480.0,1130.0,596.0,1518.0,393.0,1509.0,500.0,70.0,1380.0,2177.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,1396.0,718.0,3603,1449.0,1009.0,989.0,879.0,731.0,539.0,212.0,681.0,1065.0,1779.0,1609.0,905.0,605.0,1751.0,525.0,757.0,795.0,906.0,1504.0,398.0,853.0,667.0,979.0,1203.0,1644.0,584.0,612.0,179.0,1404.0,953.0,1465.0,802.0,1139.0,208.0,1104.0,428.0,1285.0,1121.0,1823.0,1690.0,311.0,625.0,2005.0,716.0,427.0,635.0,480.0,1693.0,755.0,760.0,715.0,655.0,178.0,175.0,324,1369.0,1593.0,1290.0,756.0,1630.0,1193.0,1490.0,1073.0,768.0,1319.0,388.0,1237.0,565.0,121.0,1202.0,1700.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,619.0,358.0,2027,900.0,634.0,344.0,679.0,500.0,260.0,124.0,535.0,783.0,1233.0,874.0,461.0,291.0,1040.0,240.0,492.0,502.0,406.0,841.0,325.0,421.0,502.0,703.0,828.0,1053.0,419.0,239.0,63.0,907.0,651.0,835.0,503.0,804.0,124.0,710.0,289.0,878.0,660.0,1247.0,1047.0,192.0,346.0,1307.0,551.0,344.0,211.0,319.0,786.0,573.0,541.0,473.0,477.0,108.0,135.0,187,818.0,881.0,804.0,453.0,1153.0,498.0,979.0,726.0,463.0,807.0,253.0,864.0,369.0,36.0,745.0,1034.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,3.0,1.0,5,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,813.0,205.0,3654,934.0,671.0,560.0,623.0,547.0,368.0,244.0,692.0,720.0,1310.0,986.0,618.0,418.0,901.0,360.0,527.0,375.0,535.0,637.0,349.0,487.0,522.0,559.0,852.0,887.0,463.0,265.0,109.0,824.0,526.0,717.0,427.0,695.0,138.0,655.0,336.0,774.0,817.0,987.0,849.0,271.0,353.0,1014.0,734.0,356.0,357.0,304.0,822.0,698.0,645.0,405.0,553.0,69.0,234.0,0,777.0,963.0,691.0,567.0,888.0,393.0,818.0,672.0,359.0,904.0,248.0,773.0,336.0,60.0,725.0,1206.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,792.0,609.0,1982,777.0,573.0,806.0,512.0,378.0,434.0,153.0,399.0,573.0,1054.0,919.0,527.0,476.0,1016.0,417.0,459.0,417.0,698.0,885.0,213.0,494.0,390.0,598.0,678.0,955.0,300.0,509.0,139.0,778.0,481.0,775.0,461.0,604.0,107.0,683.0,241.0,635.0,614.0,977.0,951.0,182.0,367.0,1088.0,389.0,223.0,491.0,285.0,1382.0,440.0,412.0,435.0,357.0,134.0,92.0,227,742.0,862.0,719.0,469.0,898.0,936.0,800.0,580.0,466.0,752.0,241.0,646.0,366.0,109.0,661.0,946.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,617.0,441.0,2345,950.0,799.0,427.0,765.0,557.0,294.0,145.0,541.0,774.0,1296.0,904.0,455.0,344.0,1221.0,267.0,535.0,562.0,491.0,1002.0,330.0,463.0,508.0,818.0,901.0,1223.0,419.0,279.0,79.0,950.0,760.0,1001.0,547.0,811.0,149.0,789.0,323.0,992.0,772.0,1432.0,1211.0,175.0,343.0,1534.0,599.0,348.0,277.0,331.0,856.0,529.0,613.0,524.0,538.0,118.0,127.0,215,910.0,1025.0,975.0,409.0,1141.0,629.0,1162.0,850.0,600.0,882.0,292.0,897.0,437.0,43.0,780.0,1052.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,1422.0,232.0,4937,1557.0,942.0,661.0,904.0,843.0,440.0,282.0,968.0,1220.0,1972.0,1645.0,1003.0,495.0,1453.0,440.0,784.0,693.0,658.0,1095.0,528.0,805.0,793.0,823.0,1305.0,1402.0,746.0,328.0,133.0,1408.0,889.0,1243.0,726.0,1224.0,214.0,1001.0,489.0,1310.0,1212.0,1647.0,1424.0,417.0,614.0,1704.0,1016.0,556.0,435.0,487.0,1066.0,1057.0,920.0,634.0,790.0,103.0,325.0,0,1314.0,1546.0,1091.0,899.0,1631.0,521.0,1324.0,1038.0,524.0,1396.0,356.0,1330.0,467.0,64.0,1232.0,1943.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,1147.0,753.0,3333,1331.0,957.0,984.0,884.0,661.0,556.0,215.0,639.0,1029.0,1594.0,1447.0,735.0,611.0,1630.0,528.0,735.0,713.0,922.0,1359.0,397.0,725.0,600.0,964.0,1153.0,1582.0,564.0,617.0,167.0,1320.0,890.0,1315.0,767.0,1100.0,176.0,1035.0,408.0,1172.0,969.0,1703.0,1591.0,282.0,557.0,1852.0,669.0,408.0,611.0,430.0,1810.0,692.0,711.0,674.0,619.0,183.0,182.0,337,1268.0,1434.0,1201.0,661.0,1567.0,1233.0,1378.0,1019.0,725.0,1216.0,367.0,1101.0,561.0,122.0,1086.0,1525.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,911.0,323.0,2685,1122.0,709.0,347.0,728.0,605.0,246.0,129.0,609.0,884.0,1463.0,1133.0,658.0,286.0,1265.0,230.0,548.0,637.0,386.0,1043.0,346.0,598.0,601.0,781.0,965.0,1204.0,488.0,229.0,77.0,1072.0,754.0,1063.0,611.0,923.0,174.0,850.0,329.0,1057.0,861.0,1486.0,1233.0,238.0,441.0,1565.0,612.0,384.0,237.0,377.0,685.0,648.0,624.0,552.0,553.0,98.0,143.0,167,1035.0,1156.0,977.0,570.0,1339.0,477.0,1193.0,806.0,533.0,936.0,292.0,1067.0,388.0,33.0,921.0,1301.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,2.0,3.0,4,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
