,Contest Title,Party,Candidate,ABSENTEE,BARNWELL VFD,BAY MINETTE CIVIC CENTER,BELFOREST COMM CTR,BON SECOUR MORGAN CHAPEL,BROMLEY VFD SUBST,CLEAR SPG FELLOWSHIP,CROSSROADS DURANT,DAPHNE CIVIC CENTER,DAPHNE HIGH SCHOOL,"DOUGLASVILLE, BOYKIN CTR",ELBERTA CIVIC CENTER,ELLISVILLE COMM CENTER,ELSANOR COMMUNITY,FAIRHOPE - 3 CIRCLE CHURCH,FAIRHOPE CIVIC CENTER,FOLEY CIVIC CENTER,FT_ MORGAN VFD #1,GATESWOOD VFD,GULF SHORES CIVIC CENTER,JOSEPHINE VFD,LILLIAN COMMUNITY,LITTLE RIVER VFD,LOTTIE VFD,LOXLEY TOWN HALL,MAG SPGS WESLEYAN CH,MARLOW VFD,MIFLIN COMMUNITY CTR,NEW LIFE ASSEMBLY OF GOD,ORANGE BEACH COMM,PERDIDO BEACH VFD,PERDIDO VOL FIRE DEPT,PINEGROVE VFD #1,PROVISIONAL,PT CLEAR ST FRANCIS,RABUN VFD,ROBERTSDALE CITY HALL,ROSINTON METHODIST,SEMINOLE VFD,SILVERHILL COMMUNITY CENTER,SPANISH FORT CHURCH OF CHRIST,SPANISH FORT COMMUNITY CENTER,STAPLETON VFD,STOCKTON CIVIC BUILDING,SUMMERDALE COMM_,TENSAW VFD,VAUGHN COMM CENTER,WHITEHOUSE FORK VFD
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,1647,540.0,983.0,498.0,355.0,212.0,30.0,172.0,3013.0,664.0,172.0,451.0,177.0,285.0,1848.0,2516.0,1581.0,111.0,71.0,1629.0,151.0,1001.0,66.0,37.0,303.0,877.0,530.0,585.0,1110.0,1289.0,174.0,214.0,247.0,0,442.0,155.0,789.0,342.0,180.0,639.0,639.0,1006.0,315.0,133.0,556.0,47.0,109.0,284.0
106,"DISTRICT COURT JUDGE, BALDWIN COUNTY, PLACE NO. 2       ",REP,J. Clark Stankoski                    ,3495,1500.0,2731.0,1370.0,970.0,624.0,130.0,412.0,6793.0,1831.0,112.0,1364.0,326.0,837.0,4626.0,5462.0,4149.0,306.0,215.0,4650.0,410.0,2428.0,107.0,150.0,885.0,2247.0,1406.0,1745.0,2835.0,3600.0,468.0,523.0,739.0,107,915.0,454.0,2216.0,1226.0,508.0,1853.0,1447.0,2671.0,891.0,376.0,1542.0,47.0,175.0,692.0
107,"DISTRICT COURT JUDGE, BALDWIN COUNTY, PLACE NO. 2       ",NON,Write-In                              ,28,11.0,62.0,23.0,13.0,12.0,1.0,10.0,151.0,28.0,16.0,13.0,6.0,2.0,48.0,90.0,73.0,6.0,1.0,39.0,4.0,30.0,0.0,3.0,12.0,57.0,16.0,13.0,41.0,28.0,6.0,3.0,16.0,0,13.0,8.0,19.0,11.0,3.0,15.0,15.0,28.0,3.0,4.0,7.0,5.0,6.0,11.0
108,"DISTRICT COURT JUDGE, BALDWIN COUNTY, PLACE NO. 2       ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
109,"DISTRICT COURT JUDGE, BALDWIN COUNTY, PLACE NO. 2       ",   ,Under Votes                           ,959,291.0,784.0,218.0,240.0,222.0,16.0,141.0,2706.0,492.0,302.0,288.0,171.0,119.0,1007.0,1922.0,1292.0,90.0,31.0,1073.0,57.0,620.0,46.0,22.0,168.0,632.0,356.0,374.0,794.0,732.0,120.0,137.0,197.0,0,315.0,90.0,484.0,189.0,72.0,368.0,334.0,639.0,133.0,66.0,310.0,89.0,179.0,176.0
110,"MEMBER, BALDWIN COUNTY BOARDD OF EDUCATION,             ",REP,Janay C Dawson                        ,510,,,,771.0,,,,,,,35.0,,,,,3878.0,,,1.0,,,,,,2290.0,45.0,1206.0,,,,,,62,,,,,,,,,,,337.0,,,
111,"MEMBER, BALDWIN COUNTY BOARDD OF EDUCATION,             ",NON,Write-In                              ,4,,,,12.0,,,,,,,0.0,,,,,73.0,,,0.0,,,,,,56.0,0.0,5.0,,,,,,0,,,,,,,,,,,1.0,,,
112,"MEMBER, BALDWIN COUNTY BOARDD OF EDUCATION,             ",   ,Over Votes                            ,0,,,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,0.0,1.0,,,,,,0,,,,,,,,,,,0.0,,,
113,"MEMBER, BALDWIN COUNTY BOARDD OF EDUCATION,             ",   ,Under Votes                           ,145,,,,182.0,,,,,,,1.0,,,,,1129.0,,,0.0,,,,,,591.0,8.0,238.0,,,,,,0,,,,,,,,,,,89.0,,,
114,"MEMBER, BALDWIN COUNTY BOARD OF EDUCATION,              ",REP,Shannon Cauley                        ,462,,,152.0,,391.0,,,27.0,14.0,,,328.0,,,,,,,,,,,,883.0,,657.0,,2431.0,,,,,44,,,44.0,120.0,,1304.0,1443.0,2676.0,78.0,,,,,
115,"MEMBER, BALDWIN COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,6,,,3.0,,6.0,,,0.0,0.0,,,6.0,,,,,,,,,,,,11.0,,3.0,,34.0,,,,,0,,,1.0,0.0,,16.0,15.0,35.0,0.0,,,,,
116,"MEMBER, BALDWIN COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,,,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0,,,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,
117,"MEMBER, BALDWIN COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,111,,,20.0,,126.0,,,12.0,10.0,,,169.0,,,,,,,,,,,,171.0,,137.0,,662.0,,,,,0,,,6.0,15.0,,238.0,338.0,628.0,10.0,,,,,
118,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,Yes-Local Amendment No. 1             ,2049,830.0,1758.0,783.0,479.0,418.0,64.0,240.0,4637.0,1131.0,197.0,737.0,212.0,356.0,2489.0,3454.0,2604.0,203.0,87.0,2790.0,221.0,1212.0,39.0,59.0,476.0,1267.0,807.0,1072.0,1712.0,2172.0,234.0,256.0,471.0,268,595.0,180.0,1203.0,600.0,214.0,1042.0,846.0,1611.0,450.0,206.0,779.0,70.0,179.0,362.0
119,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,No-Local Amendment No. 1              ,1210,466.0,1233.0,411.0,428.0,276.0,61.0,196.0,2435.0,615.0,92.0,510.0,126.0,345.0,1443.0,1597.0,1432.0,88.0,91.0,1396.0,124.0,1008.0,51.0,81.0,308.0,868.0,488.0,502.0,974.0,992.0,170.0,270.0,320.0,114,229.0,241.0,766.0,523.0,218.0,635.0,397.0,865.0,342.0,175.0,557.0,38.0,94.0,336.0
120,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Over Votes                            ,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
121,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Under Votes                           ,1276,506.0,583.0,417.0,316.0,164.0,22.0,127.0,2576.0,605.0,141.0,417.0,164.0,254.0,1749.0,2422.0,1478.0,109.0,69.0,1574.0,126.0,834.0,63.0,35.0,281.0,801.0,482.0,558.0,980.0,1195.0,190.0,137.0,161.0,0,419.0,131.0,750.0,303.0,151.0,560.0,553.0,863.0,235.0,64.0,523.0,33.0,87.0,181.0
122,LOCAL AMENDMENT ONE (1) BAY MINETTE                     ,NON,Yes-Local Amendment No. 1             ,31,,1232.0,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,34.0,12,,,,,,,,,,,,,,
123,LOCAL AMENDMENT ONE (1) BAY MINETTE                     ,NON,No-Local Amendment No. 1              ,32,,757.0,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,26.0,10,,,,,,,,,,,,,,
124,LOCAL AMENDMENT ONE (1) BAY MINETTE                     ,   ,Over Votes                            ,0,,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,
125,LOCAL AMENDMENT ONE (1) BAY MINETTE                     ,   ,Under Votes                           ,27,,399.0,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,10.0,0,,,,,,,,,,,,,,
126,PROPOSED LOCAL AMENDMENT NUMBER TWO (2)                 ,NON,Yes-Local Amendment No. 2             ,1921,831.0,1401.0,707.0,450.0,376.0,56.0,207.0,4580.0,1149.0,152.0,692.0,215.0,363.0,2529.0,3589.0,2524.0,180.0,87.0,2663.0,183.0,1157.0,34.0,59.0,473.0,1231.0,764.0,1000.0,1659.0,2026.0,239.0,205.0,383.0,243,572.0,163.0,1193.0,587.0,203.0,1029.0,821.0,1520.0,387.0,164.0,775.0,51.0,160.0,328.0
127,PROPOSED LOCAL AMENDMENT NUMBER TWO (2)                 ,NON,No-Local Amendment No. 2              ,1659,601.0,1576.0,597.0,530.0,322.0,67.0,234.0,3143.0,786.0,129.0,689.0,139.0,400.0,1905.0,2228.0,1908.0,151.0,106.0,1973.0,194.0,1261.0,54.0,86.0,372.0,1128.0,640.0,738.0,1256.0,1540.0,215.0,316.0,399.0,190,371.0,264.0,949.0,613.0,247.0,807.0,531.0,1194.0,428.0,221.0,699.0,54.0,117.0,367.0
128,PROPOSED LOCAL AMENDMENT NUMBER TWO (2)                 ,   ,Over Votes                            ,2,1.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,5.0,9.0,2.0,2.0,1.0,2.0,0.0,24.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0
129,PROPOSED LOCAL AMENDMENT NUMBER TWO (2)                 ,   ,Under Votes                           ,957,369.0,597.0,307.0,243.0,160.0,23.0,121.0,1920.0,415.0,149.0,284.0,149.0,192.0,1243.0,1648.0,1081.0,69.0,53.0,1124.0,94.0,636.0,65.0,30.0,219.0,577.0,372.0,394.0,754.0,792.0,140.0,142.0,170.0,0,299.0,124.0,574.0,224.0,133.0,401.0,444.0,622.0,209.0,61.0,384.0,36.0,83.0,183.0
130,PROPOSED LOCAL AMENDMENT NUMBER THREE (3)               ,NON,Yes-Local Amendment No. 3             ,1828,699.0,1289.0,652.0,391.0,342.0,46.0,161.0,3999.0,970.0,132.0,564.0,161.0,270.0,2210.0,3278.0,2100.0,192.0,75.0,2614.0,182.0,975.0,31.0,62.0,352.0,1013.0,582.0,906.0,1467.0,2414.0,193.0,196.0,318.0,218,537.0,161.0,891.0,430.0,142.0,790.0,814.0,1424.0,295.0,138.0,593.0,35.0,93.0,260.0
131,PROPOSED LOCAL AMENDMENT NUMBER THREE (3)               ,NON,No-Local Amendment No. 3              ,1805,763.0,1682.0,684.0,610.0,372.0,82.0,276.0,3795.0,992.0,152.0,842.0,204.0,501.0,2299.0,2557.0,2412.0,136.0,122.0,2141.0,210.0,1497.0,59.0,86.0,500.0,1356.0,854.0,864.0,1471.0,1221.0,275.0,328.0,463.0,225,413.0,266.0,1279.0,803.0,306.0,1060.0,557.0,1326.0,523.0,240.0,905.0,74.0,188.0,444.0
132,PROPOSED LOCAL AMENDMENT NUMBER THREE (3)               ,   ,Over Votes                            ,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
133,PROPOSED LOCAL AMENDMENT NUMBER THREE (3)               ,   ,Under Votes                           ,913,338.0,604.0,274.0,222.0,143.0,19.0,125.0,1855.0,389.0,145.0,258.0,138.0,185.0,1170.0,1639.0,1000.0,73.0,50.0,1005.0,79.0,582.0,63.0,27.0,213.0,568.0,342.0,361.0,729.0,722.0,126.0,138.0,171.0,0,292.0,125.0,548.0,193.0,135.0,386.0,425.0,589.0,208.0,68.0,360.0,32.0,79.0,174.0
134,PROPOSED LOCAL AMENDMENT NUMBER FOUR (4)                ,NON,Yes-Local Amendment No. 4             ,2320,901.0,1736.0,878.0,526.0,417.0,72.0,239.0,4894.0,1186.0,161.0,829.0,225.0,412.0,2776.0,4197.0,2611.0,212.0,94.0,3190.0,235.0,1362.0,45.0,80.0,499.0,1347.0,868.0,1133.0,1820.0,2422.0,274.0,264.0,414.0,272,660.0,225.0,1289.0,616.0,236.0,1199.0,878.0,1665.0,457.0,187.0,859.0,73.0,161.0,378.0
135,PROPOSED LOCAL AMENDMENT NUMBER FOUR (4)                ,NON,No-Local Amendment No. 4              ,1361,582.0,1279.0,470.0,489.0,302.0,53.0,198.0,3048.0,789.0,131.0,581.0,135.0,361.0,1815.0,1883.0,1924.0,130.0,102.0,1679.0,158.0,1164.0,40.0,64.0,358.0,1057.0,574.0,681.0,1152.0,1262.0,202.0,255.0,373.0,172,327.0,202.0,898.0,615.0,223.0,679.0,535.0,1138.0,371.0,195.0,644.0,35.0,116.0,326.0
136,PROPOSED LOCAL AMENDMENT NUMBER FOUR (4)                ,   ,Over Votes                            ,2,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,7.0,4.0,1.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,7.0,0.0,1.0,1.0,0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0
137,PROPOSED LOCAL AMENDMENT NUMBER FOUR (4)                ,   ,Under Votes                           ,826,317.0,560.0,259.0,207.0,139.0,22.0,126.0,1708.0,373.0,137.0,255.0,141.0,183.0,1088.0,1387.0,976.0,59.0,51.0,891.0,78.0,525.0,68.0,31.0,208.0,531.0,336.0,316.0,694.0,669.0,118.0,143.0,164.0,0,255.0,125.0,529.0,195.0,124.0,359.0,382.0,533.0,198.0,64.0,354.0,33.0,83.0,174.0
138,PROPOSED LOCAL AMENDMENT NUMBER FIVE (5)                ,NON,Yes-Local Amendment No. 5             ,2746,1073.0,2113.0,1009.0,657.0,501.0,82.0,293.0,5914.0,1521.0,186.0,962.0,276.0,518.0,3342.0,4527.0,3384.0,268.0,120.0,3635.0,276.0,1765.0,53.0,91.0,610.0,1726.0,1049.0,1358.0,2164.0,2725.0,321.0,329.0,530.0,315,738.0,247.0,1562.0,829.0,302.0,1377.0,1068.0,2103.0,575.0,233.0,1046.0,74.0,195.0,476.0
139,PROPOSED LOCAL AMENDMENT NUMBER FIVE (5)                ,NON,No-Local Amendment No. 5              ,674,319.0,755.0,256.0,297.0,175.0,41.0,119.0,1530.0,350.0,95.0,364.0,79.0,216.0,942.0,1081.0,940.0,52.0,67.0,890.0,98.0,604.0,35.0,44.0,211.0,538.0,338.0,343.0,609.0,684.0,117.0,170.0,237.0,110,175.0,169.0,507.0,342.0,136.0,401.0,258.0,526.0,216.0,123.0,373.0,30.0,79.0,197.0
140,PROPOSED LOCAL AMENDMENT NUMBER FIVE (5)                ,   ,Over Votes                            ,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
141,PROPOSED LOCAL AMENDMENT NUMBER FIVE (5)                ,   ,Under Votes                           ,1112,410.0,708.0,345.0,268.0,182.0,23.0,151.0,2206.0,479.0,147.0,339.0,148.0,222.0,1395.0,1864.0,1188.0,81.0,60.0,1235.0,97.0,686.0,65.0,40.0,244.0,673.0,390.0,430.0,895.0,951.0,156.0,164.0,184.0,0,330.0,136.0,650.0,255.0,145.0,460.0,470.0,710.0,235.0,90.0,439.0,37.0,86.0,206.0
