,Contest Title,Party,Candidate,ABSENTEE,ARLINGTON COMMUNITY CENTER,CLIFTON VOC_ BUILDING DIST 4,CLIFTON VOC_ BUILDING DIST 5,COY PUBLIC SCHOOL HOUSE,FAITH FELLOWSHIP,FURMAN TATES CHAPEL DIST 1,FURMAN TATES CHAPEL DIST 2,G_W_ WATTS,GEE'S BEND FERRY TERMINAL,GROCERY STORE,HWY 10/28 DIST 1,HWY 10/28 DIST 2,LOWER PEACHTREE DIST 5,LOWER PEACHTREE DIST 6,MILLER FERRY RIVERVIEW CHURCH,NATIONAL GUARD BRIDGEPORT,NATL GUARD ARMORY CAMDEN,PINE APPLE/AWIN DIST 1,PINE APPLE/AWIN DIST 2,PINE HILL CITY HALL,PINE HILL MIDDLE SCHOOL,PORTABLE BUILDING,PRAIRIE BLUFF CATHERINE,PROVISIONAL,SE CAMDEN COURTHOUSE DIST 2,SE CAMDEN COURTHOUSE DIST 3,SEDAN PORT_ BLDG HWY 41,ST PAUL AME CHURCH DIST 1,ST PAUL AME CHURCH DIST 2,SUNNY SOUTH VOTING BOOTH,WHISKEY RUN DIST 3,WHISKEY RUN DIST 5,YE OLDE SHOPPE DIST 1,YE OLDE SHOPPE DIST 2,YELLOW BLUFF CITY HALL
153,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 7              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,
154,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 7              ",   ,Under Votes                           ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,6.0,,,,,,,
155,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 9              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,
156,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 9              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
157,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 9              ",   ,Under Votes                           ,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,22.0,,
158,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 1              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,
159,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 1              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,
160,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 1              ",   ,Under Votes                           ,3,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,71.0,
161,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 2              ",DEM,Fred Wilson                           ,0,,,,,,,20.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
162,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 2              ",NON,Write-In                              ,0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
163,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 2              ",   ,Over Votes                            ,0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
164,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 2              ",   ,Under Votes                           ,0,,,,,,,10.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
165,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 3              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,
166,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 3              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,
167,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 3              ",   ,Under Votes                           ,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,38.0,,,,,,
168,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 4              ",DEM,Angela Barge                          ,3,,,,,,,,,,,,209.0,,,,,,,,,,,,0.0,,,,,,,,,,,
169,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 4              ",NON,Write-In                              ,0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
170,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 4              ",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
171,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 4              ",   ,Under Votes                           ,1,,,,,,,,,,,,28.0,,,,,,,,,,,,0.0,,,,,,,,,,,
172,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 6              ",NON,Write-In                              ,0,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
173,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 6              ",   ,Over Votes                            ,0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
174,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 6              ",   ,Under Votes                           ,4,,,,,,,,78.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
175,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 7              ",DEM,Torris Toe Dale                       ,4,,,,,,,,,,,,,,,,,,,,,,153.0,,0.0,,,,,,,,,,,
176,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 7              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
177,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 7              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
178,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 7              ",   ,Under Votes                           ,0,,,,,,,,,,,,,,,,,,,,,,5.0,,0.0,,,,,,,,,,,
179,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 8              ",DEM,Prachansi Carmichael                  ,14,,,,,,,,,,,,,,,,,,,,,,,,0.0,222.0,,,,,,,,,,
180,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 8              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
181,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 8              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
182,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 8              ",   ,Under Votes                           ,5,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,,,,,,,,,,
183,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 9              ",DEM,Trini L. Moye                         ,0,,,,,,,,,,,,,,,,,,,50.0,,,,,0.0,,,,,,,,,,,
184,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 9              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,,,,,,,,,,,
185,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 9              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
186,"CONSTABLE, WILCOX COUNTY PRECINCT 2, BOX 9              ",   ,Under Votes                           ,1,,,,,,,,,,,,,,,,,,,46.0,,,,,0.0,,,,,,,,,,,
187,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 1              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,
188,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 1              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,
189,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 1              ",   ,Under Votes                           ,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,16.0,,,,
190,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 2              ",DEM,Donald Grimes                         ,6,,,,185.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
191,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 2              ",NON,Write-In                              ,0,,,,17.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
192,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 2              ",   ,Over Votes                            ,0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
193,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 2              ",   ,Under Votes                           ,0,,,,35.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
194,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 3              ",DEM,Latasha Frye                          ,4,,,,,,,,,,,,,,,,,,,,,,,,0.0,,28.0,,,,,,,,,
195,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 3              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,
196,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 3              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,
197,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 3              ",   ,Under Votes                           ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,17.0,,,,,,,,,
198,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 4              ",DEM,"Samuel Lomas, Sr.                     ",0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,35.0,,,,,,,,
199,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 4              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.0,,,,,,,,
200,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 4              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,
201,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 4              ",   ,Under Votes                           ,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,36.0,,,,,,,,
202,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 6              ",DEM,Billy Dukes                           ,30,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,439.0,,,,
203,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 6              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,3.0,,,,
204,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 6              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,
205,"CONSTABLE, WILCOX COUNTY PRECINCT 3, BOX 6              ",   ,Under Votes                           ,3,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,30.0,,,,
206,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 1              ",DEM,Toni Bester Coleman                   ,1,,,,,,,,,195.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
207,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 1              ",NON,Write-In                              ,0,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
208,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 1              ",   ,Over Votes                            ,0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
209,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 1              ",   ,Under Votes                           ,0,,,,,,,,,15.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
210,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 2              ",DEM,Lee Foster                            ,13,,,,,312.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
211,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 2              ",NON,Write-In                              ,0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
212,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 2              ",   ,Over Votes                            ,0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
213,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 2              ",   ,Under Votes                           ,1,,,,,28.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
214,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 3              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,
215,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 3              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
216,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 3              ",   ,Under Votes                           ,5,,,,,,,,,,,,,,,,,,,,,,,235.0,0.0,,,,,,,,,,,
217,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 4              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,69.0,,,,,,,,,0.0,,,,,,,,,,,
218,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 4              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,
219,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 4              ",   ,Under Votes                           ,14,,,,,,,,,,,,,,,84.0,,,,,,,,,0.0,,,,,,,,,,,
220,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 5              ",NON,Write-In                              ,0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
221,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 5              ",   ,Over Votes                            ,0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
222,"CONSTABLE, WILCOX COUNTY PRECINCT 4, BOX 5              ",   ,Under Votes                           ,5,,126.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
223,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 1              ",NON,Write-In                              ,1,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
224,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 1              ",   ,Over Votes                            ,0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
225,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 1              ",   ,Under Votes                           ,26,,,103.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
226,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 2              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,,
227,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 2              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,
228,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 2              ",   ,Under Votes                           ,84,,,,,,,,,,,,,,,,,,,,,156.0,,,0.0,,,,,,,,,,,
229,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 3              ",DEM,Madison (Skip) Nicholson              ,42,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,82.0
230,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 3              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0
231,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 3              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0
232,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 3              ",   ,Under Votes                           ,78,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,21.0
233,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 4              ",NON,Write-In                              ,0,,,,,,,,,,18.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
234,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 4              ",   ,Over Votes                            ,0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
235,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 4              ",   ,Under Votes                           ,19,,,,,,,,,,181.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
236,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 5              ",NON,Write-In                              ,0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,
237,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 5              ",   ,Over Votes                            ,0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,
238,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 5              ",   ,Under Votes                           ,25,,,,,,,,,,,,,120.0,,,,,,,,,,,0.0,,,,,,,,,,,
239,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 6              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,
240,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 6              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,
241,"CONSTABLE, WILCOX COUNTY PRECINCT 5, BOX 6              ",   ,Under Votes                           ,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,17.0,,,
242,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 1              ",NON,Write-In                              ,1,63.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
243,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 1              ",   ,Over Votes                            ,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
244,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 1              ",   ,Under Votes                           ,3,126.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
245,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 2              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,39.0,,,,0.0,,,,,,,,,,,
246,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 2              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,
247,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 2              ",   ,Under Votes                           ,18,,,,,,,,,,,,,,,,,,,,463.0,,,,0.0,,,,,,,,,,,
248,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 3              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,8.0,,,,,
249,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 3              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,
250,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 3              ",   ,Under Votes                           ,4,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,190.0,,,,,
251,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 4              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,3.0,,,,0.0,,,,,,,,,,,
252,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 4              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,
253,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 4              ",   ,Under Votes                           ,0,,,,,,,,,,,,,,,,,,,,44.0,,,,0.0,,,,,,,,,,,
254,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 5              ",NON,Write-In                              ,0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,
255,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 5              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,
256,"CONSTABLE, WILCOX COUNTY PRECINCT 6, BOX 5              ",   ,Under Votes                           ,0,,,,,,,,,,,,,,116.0,,,,,,,,,,0.0,,,,,,,,,,,
